Vernier Format 2
3.txt 5/5/2018 10:33:33
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%	

95.9	19.93	
96.0	19.93	
96.1	19.94	
96.2	19.93	
96.3	19.93	
96.4	19.93	
96.5	19.93	
96.6	19.93	
96.7	19.93	
96.8	19.93	
96.9	19.93	
97.0	19.93	
97.1	19.93	
97.2	19.93	
97.3	19.93	
97.4	19.93	
97.5	19.93	
97.6	19.93	
97.7	19.93	
97.8	19.93	
97.9	19.93	
98.0	19.93	
98.1	19.93	
98.2	19.93	
98.3	19.93	
98.4	19.93	
98.5	19.93	
98.6	19.93	
98.7	19.93	
98.8	19.93	
98.9	19.93	
99.0	19.93	
99.1	19.93	
99.2	19.93	
99.3	19.93	
99.4	19.92	
99.5	19.93	
99.6	19.93	
99.7	19.93	
99.8	19.93	
99.9	19.92	
100.0	19.93	
100.1	19.93	
100.2	19.93	
100.3	19.93	
100.4	19.93	
100.5	19.92	
100.6	19.93	
100.7	19.92	
100.8	19.92	
100.9	19.93	
101.0	19.93	
101.1	19.91	
101.2	19.92	
101.3	19.93	
101.4	19.92	
101.5	19.91	
101.6	19.92	
101.7	19.92	
101.8	19.92	
101.9	19.92	
102.0	19.92	
102.1	19.91	
102.2	19.91	
102.3	19.91	
102.4	19.91	
102.5	19.91	
102.6	19.92	
102.7	19.92	
102.8	19.91	
102.9	19.91	
103.0	19.92	
103.1	19.92	
103.2	19.92	
103.3	19.93	
103.4	19.92	
103.5	19.92	
103.6	19.91	
103.7	19.91	
103.8	19.91	
103.9	19.91	
104.0	19.91	
104.1	19.92	
104.2	19.91	
104.3	19.92	
104.4	19.91	
104.5	19.91	
104.6	19.92	
104.7	19.91	
104.8	19.92	
104.9	19.91	
105.0	19.91	
105.1	19.91	
105.2	19.92	
105.3	19.92	
105.4	19.91	
105.5	19.91	
105.6	19.92	
105.7	19.92	
105.8	19.92	
105.9	19.91	
106.0	19.92	
106.1	19.91	
106.2	19.93	
106.3	19.93	
106.4	19.91	
106.5	19.91	
106.6	19.91	
106.7	19.93	
106.8	19.91	
106.9	19.92	
107.0	19.90	
107.1	19.91	
107.2	19.91	
107.3	19.91	
107.4	19.91	
107.5	19.91	
107.6	19.91	
107.7	19.91	
107.8	19.90	
107.9	19.90	
108.0	19.91	
108.1	19.91	
108.2	19.91	
108.3	19.90	
108.4	19.90	
108.5	19.90	
108.6	19.90	
108.7	19.90	
108.8	19.90	
108.9	19.91	
109.0	19.90	
109.1	19.90	
109.2	19.90	
109.3	19.89	
109.4	19.90	
109.5	19.90	
109.6	19.89	
109.7	19.91	
109.8	19.89	
109.9	19.89	
110.0	19.90	
110.1	19.90	
110.2	19.89	
110.3	19.90	
110.4	19.89	
110.5	19.90	
110.6	19.90	
110.7	19.89	
110.8	19.89	
110.9	19.90	
111.0	19.89	
111.1	19.90	
111.2	19.90	
111.3	19.90	
111.4	19.89	
111.5	19.89	
111.6	19.89	
111.7	19.89	
111.8	19.89	
111.9	19.89	
112.0	19.89	
112.1	19.89	
112.2	19.89	
112.3	19.90	
112.4	19.89	
112.5	19.89	
112.6	19.89	
112.7	19.89	
112.8	19.89	
112.9	19.90	
113.0	19.89	
113.1	19.90	
113.2	19.89	
113.3	19.89	
113.4	19.89	
113.5	19.89	
113.6	19.89	
113.7	19.89	
113.8	19.88	
113.9	19.88	
114.0	19.89	
114.1	19.88	
114.2	19.89	
114.3	19.89	
114.4	19.89	
114.5	19.88	
114.6	19.88	
114.7	19.89	
114.8	19.89	
114.9	19.89	
115.0	19.89	
115.1	19.89	
115.2	19.88	
115.3	19.89	
115.4	19.89	
115.5	19.89	
115.6	19.89	
115.7	19.88	
115.8	19.89	
115.9	19.89	
116.0	19.89	
116.1	19.88	
116.2	19.88	
116.3	19.89	
116.4	19.89	
116.5	19.88	
116.6	19.89	
116.7	19.88	
116.8	19.89	
116.9	19.88	
117.0	19.88	
117.1	19.88	
117.2	19.89	
117.3	19.88	
117.4	19.89	
117.5	19.89	
117.6	19.88	
117.7	19.89	
117.8	19.88	
117.9	19.88	
118.0	19.88	
118.1	19.88	
118.2	19.88	
118.3	19.88	
118.4	19.89	
118.5	19.89	
118.6	19.88	
118.7	19.88	
118.8	19.88	
118.9	19.89	
119.0	19.88	
119.1	19.88	
119.2	19.88	
119.3	19.88	
119.4	19.89	
119.5	19.89	
119.6	19.88	
119.7	19.88	
119.8	19.88	
119.9	19.88	
120.0	19.88	
120.1	19.88	
120.2	19.88	
120.3	19.88	
120.4	19.88	
120.5	19.88	
120.6	19.88	
120.7	19.87	
120.8	19.88	
120.9	19.88	
121.0	19.87	
121.1	19.88	
121.2	19.88	
121.3	19.88	
121.4	19.88	
121.5	19.88	
121.6	19.88	
121.7	19.88	
121.8	19.88	
121.9	19.88	
122.0	19.87	
122.1	19.88	
122.2	19.88	
122.3	19.88	
122.4	19.88	
122.5	19.88	
122.6	19.88	
122.7	19.88	
122.8	19.88	
122.9	19.87	
123.0	19.87	
123.1	19.88	
123.2	19.87	
123.3	19.87	
123.4	19.88	
123.5	19.87	
123.6	19.88	
123.7	19.87	
123.8	19.88	
123.9	19.87	
