Vernier Format 2
1.txt 5/5/2018 10:31:59
Měření 1
Čas	Čidlo O2	
Č	Č	
min	%
0.0 19.89
56.58	19.94
56.7	19.95
56.82	19.95
56.88	19.95
57.0	19.95
57.12	19.95
57.18	19.95
57.3	19.95
57.42	19.95
57.48	19.95
57.6	19.95
57.72	19.95
57.78	19.94
57.9	19.95
58.02	19.95
58.08	19.96
58.2	19.96
58.32	19.96
58.38	19.96
58.5	19.96
58.62	19.95
58.68	19.95
58.8	19.96
58.92	19.96
58.98	19.96
59.1	19.95
59.22	19.95
59.28	19.96
59.4	19.96
59.52	19.96
59.58	19.96
59.7	19.96
59.82	19.96
59.88	19.96
60.0	19.96
60.12	19.96
60.18	19.95
60.3	19.95
60.42	19.96
60.48	19.95
60.6	19.95
60.72	19.96
60.78	19.96
60.9	19.95
61.02	19.95
61.08	19.96
61.2	19.95
61.32	19.95
61.38	19.95
61.5	19.94
61.62	19.95
61.68	19.94
61.8	19.94
61.92	19.94
61.98	19.95
62.1	19.94
62.22	19.94
62.28	19.94
62.4	19.94
62.52	19.94
62.58	19.94
62.7	19.94
62.82	19.94
62.88	19.93
63.0	19.93
63.12	19.94
63.18	19.94
63.3	19.93
63.42	19.93
63.48	19.92
63.6	19.93
63.72	19.92
63.78	19.92
63.9	19.93
64.02	19.93
64.08	19.92
64.2	19.92
64.32	19.92
64.38	19.92
64.5	19.92
64.62	19.92
64.68	19.92
64.8	19.92
64.92	19.92
64.98	19.92
65.1	19.92
65.22	19.92
65.28	19.91
65.4	19.92
65.52	19.91
65.58	19.92
65.7	19.92
65.82	19.91
65.88	19.91
66.0	19.91
66.12	19.91
66.18	19.91
66.3	19.91
66.42	19.91
66.48	19.91
66.6	19.91
66.72	19.91
66.78	19.91
66.9	19.91
67.02	19.91
67.08	19.90
67.2	19.91
67.32	19.90
67.38	19.91
67.5	19.90
67.62	19.91
67.68	19.91
67.8	19.91
67.92	19.91
67.98	19.91
68.1	19.91
68.22	19.91
68.28	19.91
68.4	19.91
68.52	19.90
68.58	19.91
68.7	19.91
68.82	19.91
68.88	19.91
69.0	19.91
69.12	19.91
69.18	19.91
69.3	19.91
69.42	19.92
69.48	19.92
69.6	19.92
69.72	19.92
69.78	19.92
69.9	19.93
70.02	19.92
70.08	19.92
70.2	19.93
70.32	19.92
70.38	19.93
70.5	19.93
70.62	19.92
70.68	19.93
70.8	19.94
70.92	19.93
70.98	19.94
71.1	19.94
71.22	19.93
71.28	19.94
71.4	19.94
71.52	19.94
71.58	19.94
71.7	19.94
71.82	19.94
71.88	19.94
72.0	19.94
72.12	19.94
72.18	19.94
72.3	19.94
72.42	19.94
72.48	19.94
72.6	19.94
72.72	19.94
72.78	19.94
72.9	19.94
73.02	19.94
73.08	19.94
73.2	19.94
73.32	19.95
73.38	19.94
73.5	19.94
73.62	19.94
73.68	19.94
73.8	19.94
73.92	19.94
73.98	19.95
74.1	19.94
74.22	19.95
74.28	19.95
74.4	19.95
74.52	19.94
74.58	19.94
74.7	19.95
74.82	19.94
74.88	19.95
75.0	19.94
75.12	19.94
75.18	19.95
75.3	19.95
75.42	19.94
75.48	19.95
75.6	19.95
75.72	19.95
75.78	19.95
75.9	19.95
76.02	19.94
76.08	19.94
76.2	19.95
76.32	19.94
76.38	19.94
76.5	19.94
76.62	19.94
76.68	19.94
76.8	19.94
76.92	19.94
76.98	19.94
77.1	19.94
77.22	19.93
77.28	19.94
77.4	19.94
77.52	19.93
77.58	19.93
77.7	19.93
77.82	19.94
77.88	19.93
78.0	19.93
78.12	19.93
78.18	19.93
78.3	19.93
78.42	19.92
78.48	19.92
78.6	19.93
78.72	19.93
78.78	19.92
78.9	19.92
79.02	19.93
79.08	19.92
79.2	19.93
79.32	19.92
79.38	19.92
79.5	19.92
79.62	19.92
79.68	19.92
79.8	19.92
79.92	19.92
79.98	19.92
80.1	19.92
80.22	19.92
80.28	19.92
80.4	19.92
80.52	19.92
80.58	19.91
80.7	19.92
80.82	19.91
80.88	19.91
81.0	19.92
81.12	19.92
81.18	19.91
81.3	19.91
81.42	19.91
81.48	19.90
81.6	19.91
81.72	19.90
81.78	19.90
81.9	19.89
82.02	19.89
82.08	19.89
82.2	19.89
82.32	19.89
82.38	19.89
82.5	19.89
82.62	19.89
82.68	19.89
82.8	19.89
82.92	19.89
82.98	19.89
83.1	19.89
83.22	19.89
83.28	19.90
83.4	19.89
83.52	19.89
83.58	19.90
83.7	19.90
83.82	19.89
83.88	19.89
84.0	19.90
84.12	19.90
84.18	19.90
84.3	19.90
84.42	19.90
84.48	19.90
84.6	19.90
84.72	19.91
84.78	19.91
84.9	19.90
85.02	19.91
85.08	19.89
85.2	19.90
85.32	19.91
85.38	19.90
85.5	19.90
85.62	19.90
85.68	19.90
85.8	19.90
85.92	19.90
85.98	19.90
86.1	19.90
86.22	19.90
86.28	19.90
86.4	19.89
86.52	19.90
86.58	19.90
86.7	19.90
86.82	19.89
86.88	19.90
87.0	19.89
87.12	19.90
87.18	19.90
87.3	19.89
87.42	19.89
87.48	19.90
87.6	19.89
87.72	19.89
87.78	19.90
87.9	19.89
88.02	19.89
88.08	19.89
88.2	19.89
88.32	19.89
88.38	19.89
88.5	19.89
88.62	19.89
88.68	19.89
88.8	19.89
88.92	19.89
88.98	19.89
89.1	19.90
89.22	19.89
89.28	19.89
89.4	19.89
89.52	19.89
89.58	19.89
89.7	19.89
89.82	19.89
89.88	19.89
90.0	19.89
90.12	19.89
90.18	19.89
90.3	19.89
90.42	19.89
90.48	19.89
90.6	19.89
90.72	19.89
90.78	19.89
90.9	19.90
91.02	19.89
91.08	19.89
91.2	19.89
91.32	19.89
91.38	19.89
91.5	19.89
91.62	19.89
91.68	19.89
91.8	19.89
91.92	19.89
91.98	19.89
92.1	19.89
92.22	19.89
92.28	19.89
92.4	19.89
92.52	19.89
92.58	19.89
92.7	19.89
92.82	19.89
92.88	19.89
93.0	19.89
93.12	19.89
93.18	19.88
93.3	19.88
93.42	19.89
93.48	19.87
93.6	19.87
93.72	19.88
93.78	19.88
93.9	19.87
94.02	19.87
94.08	19.88
94.2	19.87
94.32	19.87
94.38	19.87
94.5	19.87
94.62	19.87
94.68	19.87
94.8	19.87
94.92	19.87
94.98	19.87
95.1	19.87
95.22	19.87
95.28	19.87
95.4	19.86
95.52	19.86
95.58	19.87
95.7	19.87
95.82	19.87
95.88	19.87
96.0	19.87
96.12	19.87
96.18	19.87
96.3	19.87
96.42	19.86
96.48	19.86
96.6	19.87
96.72	19.87
96.78	19.87
96.9	19.87
97.02	19.87
97.08	19.87
97.2	19.87
97.32	19.87
97.38	19.87
97.5	19.87
97.62	19.87
97.68	19.87
97.8	19.87
97.92	19.88
97.98	19.88
98.1	19.87
98.22	19.89
98.28	19.87
98.4	19.87
98.52	19.87
98.58	19.88
98.7	19.88
98.82	19.88
98.88	19.88
99.0	19.87
99.12	19.88
99.18	19.88
99.3	19.88
99.42	19.87
99.48	19.88
99.6	19.88
99.72	19.89
99.78	19.88
99.9	19.88
100.02	19.89
100.08	19.88
100.2	19.87
100.32	19.88
100.38	19.89
100.5	19.89
100.62	19.88
100.68	19.88
100.8	19.89
100.92	19.89
100.98	19.89
101.1	19.89
101.22	19.89
101.28	19.89
101.4	19.89
101.52	19.89
101.58	19.89
101.7	19.89
101.82	19.89
101.88	19.89
102.0	19.89
102.12	19.88
102.18	19.88
102.3	19.89
102.42	19.88
102.48	19.88
102.6	19.88
102.72	19.87
102.78	19.88
102.9	19.89
103.02	19.87
103.08	19.88
103.2	19.87
103.32	19.87
103.38	19.87
103.5	19.87
103.62	19.87
103.68	19.86
103.8	19.86
103.92	19.87
103.98	19.86
104.1	19.86
104.22	19.86
104.28	19.86
104.4	19.86
104.52	19.86
104.58	19.86
104.7	19.86
104.82	19.86
104.88	19.86
105.0	19.86
105.12	19.86
105.18	19.86
105.3	19.85
105.42	19.86
105.48	19.86
105.6	19.86
105.72	19.86
105.78	19.85
105.9	19.85
106.02	19.86
106.08	19.86
106.2	19.85
106.32	19.86
106.38	19.85
106.5	19.86
106.62	19.86
106.68	19.86
106.8	19.86
106.92	19.86
106.98	19.86
107.1	19.85
107.22	19.85
107.28	19.85
107.4	19.85
107.52	19.86
107.58	19.85
107.7	19.85
107.82	19.85
107.88	19.86
108.0	19.86
108.12	19.85
108.18	19.86
108.3	19.85
108.42	19.85
108.48	19.85
108.6	19.85
108.72	19.86
